GraphIndex,Vertices,Edges,Prim_TotalCost,Kruskal_TotalCost,Prim_TimeMs,Kruskal_TimeMs,Prim_Comparisons,Kruskal_Comparisons,Prim_Unions,Kruskal_Unions,Prim_OtherOps,Kruskal_OtherOps
1,45,121,7300.00,7300.00,0.367,0.041,279,385,0,44,164,121
2,198,405,56519.00,56519.00,1.008,0.136,960,2095,0,197,696,405
3,130,363,23968.00,23968.00,0.526,0.062,860,1305,0,129,528,363
4,292,640,77499.00,77499.00,0.657,0.132,1472,3383,0,291,968,640
5,261,526,70123.00,70123.00,0.301,0.149,1222,2499,0,260,862,526
6,169,410,37460.00,37460.00,0.276,0.083,959,1941,0,168,616,410
7,69,181,14218.00,14218.00,0.069,0.044,424,953,0,68,262,181
8,71,157,18780.00,18780.00,0.046,0.044,358,693,0,70,230,157
9,264,427,77246.00,77246.00,0.088,0.092,956,2142,0,263,732,427
10,285,682,65528.00,65528.00,0.139,0.128,1598,3359,0,284,1038,682
